Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"arsenic_group2"
Duration Time,60.674
Ambient Temperature,"92.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"1437218"
Raw Accumulated Counts,"1538279"
Valid Count Last Packet,"21792"
Raw Count Last Packet,"23463"
Live Time,56.945000
HV DAC,210
HV ADC,40.000000
Filament DAC,226
Filament ADC,30.000000
Pulse Length,150
Pulse Period,254
Filter,4
eV per channel,20.0865
Number of Channels,2048
Vacuum,759
Channel#,Intensity
0,"1788"
1,"1414"
2,"911"
3,"484"
4,"183"
5,"74"
6,"16"
7,"4"
8,"0"
9,"2"
10,"3"
11,"3"
12,"0"
13,"0"
14,"2"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"0"
22,"0"
23,"5"
24,"9"
25,"89"
26,"307"
27,"535"
28,"581"
29,"580"
30,"543"
31,"561"
32,"594"
33,"518"
34,"552"
35,"521"
36,"494"
37,"533"
38,"478"
39,"486"
40,"466"
41,"504"
42,"428"
43,"459"
44,"499"
45,"489"
46,"517"
47,"503"
48,"433"
49,"473"
50,"477"
51,"468"
52,"461"
53,"424"
54,"472"
55,"426"
56,"442"
57,"455"
58,"430"
59,"465"
60,"418"
61,"418"
62,"419"
63,"393"
64,"392"
65,"411"
66,"406"
67,"392"
68,"397"
69,"404"
70,"365"
71,"328"
72,"376"
73,"417"
74,"382"
75,"371"
76,"362"
77,"358"
78,"376"
79,"329"
80,"344"
81,"318"
82,"319"
83,"342"
84,"278"
85,"314"
86,"314"
87,"282"
88,"328"
89,"314"
90,"328"
91,"302"
92,"275"
93,"291"
94,"296"
95,"310"
96,"298"
97,"316"
98,"277"
99,"317"
100,"279"
101,"305"
102,"260"
103,"271"
104,"261"
105,"247"
106,"276"
107,"266"
108,"272"
109,"289"
110,"264"
111,"246"
112,"251"
113,"268"
114,"243"
115,"262"
116,"255"
117,"219"
118,"228"
119,"246"
120,"227"
121,"231"
122,"224"
123,"217"
124,"221"
125,"208"
126,"231"
127,"209"
128,"189"
129,"193"
130,"207"
131,"223"
132,"175"
133,"206"
134,"203"
135,"196"
136,"196"
137,"183"
138,"204"
139,"212"
140,"206"
141,"220"
142,"218"
143,"242"
144,"218"
145,"219"
146,"253"
147,"226"
148,"240"
149,"210"
150,"216"
151,"222"
152,"203"
153,"178"
154,"144"
155,"136"
156,"139"
157,"175"
158,"157"
159,"149"
160,"145"
161,"163"
162,"141"
163,"141"
164,"131"
165,"124"
166,"143"
167,"116"
168,"136"
169,"104"
170,"127"
171,"120"
172,"123"
173,"100"
174,"122"
175,"114"
176,"123"
177,"115"
178,"119"
179,"114"
180,"114"
181,"113"
182,"89"
183,"106"
184,"128"
185,"111"
186,"114"
187,"104"
188,"106"
189,"98"
190,"100"
191,"95"
192,"96"
193,"90"
194,"98"
195,"99"
196,"90"
197,"103"
198,"74"
199,"101"
200,"71"
201,"96"
202,"106"
203,"77"
204,"95"
205,"69"
206,"77"
207,"89"
208,"80"
209,"81"
210,"73"
211,"97"
212,"84"
213,"85"
214,"83"
215,"82"
216,"88"
217,"98"
218,"65"
219,"79"
220,"73"
221,"87"
222,"76"
223,"92"
224,"102"
225,"118"
226,"100"
227,"107"
228,"90"
229,"78"
230,"90"
231,"76"
232,"92"
233,"69"
234,"62"
235,"77"
236,"71"
237,"62"
238,"76"
239,"74"
240,"72"
241,"78"
242,"72"
243,"72"
244,"60"
245,"57"
246,"50"
247,"78"
248,"70"
249,"75"
250,"74"
251,"77"
252,"59"
253,"66"
254,"76"
255,"65"
256,"64"
257,"69"
258,"60"
259,"70"
260,"66"
261,"48"
262,"87"
263,"77"
264,"62"
265,"68"
266,"63"
267,"76"
268,"72"
269,"71"
270,"89"
271,"95"
272,"80"
273,"81"
274,"70"
275,"66"
276,"71"
277,"54"
278,"76"
279,"71"
280,"52"
281,"75"
282,"58"
283,"55"
284,"56"
285,"69"
286,"53"
287,"69"
288,"73"
289,"56"
290,"59"
291,"72"
292,"59"
293,"66"
294,"73"
295,"82"
296,"65"
297,"73"
298,"64"
299,"63"
300,"64"
301,"74"
302,"67"
303,"50"
304,"47"
305,"51"
306,"63"
307,"73"
308,"70"
309,"43"
310,"61"
311,"53"
312,"80"
313,"70"
314,"78"
315,"136"
316,"154"
317,"134"
318,"149"
319,"143"
320,"166"
321,"118"
322,"124"
323,"119"
324,"87"
325,"86"
326,"71"
327,"72"
328,"78"
329,"68"
330,"54"
331,"74"
332,"71"
333,"64"
334,"62"
335,"62"
336,"54"
337,"60"
338,"49"
339,"67"
340,"46"
341,"63"
342,"56"
343,"57"
344,"71"
345,"67"
346,"58"
347,"74"
348,"69"
349,"77"
350,"62"
351,"82"
352,"63"
353,"76"
354,"77"
355,"74"
356,"64"
357,"63"
358,"73"
359,"59"
360,"70"
361,"54"
362,"62"
363,"68"
364,"63"
365,"65"
366,"67"
367,"69"
368,"82"
369,"71"
