Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"bp8103_glass"
Duration Time,60.281
Ambient Temperature,"88.4"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"2695937"
Raw Accumulated Counts,"3074787"
Valid Count Last Packet,"40662"
Raw Count Last Packet,"45899"
Live Time,52.938999
HV DAC,210
HV ADC,40.000000
Filament DAC,226
Filament ADC,30.000000
Pulse Length,150
Pulse Period,254
Filter,4
eV per channel,20.085
Number of Channels,2048
Vacuum,755
Channel#,Intensity
0,"1658"
1,"1248"
2,"826"
3,"429"
4,"186"
5,"55"
6,"23"
7,"4"
8,"2"
9,"1"
10,"1"
11,"1"
12,"1"
13,"0"
14,"1"
15,"1"
16,"1"
17,"1"
18,"0"
19,"1"
20,"0"
21,"1"
22,"3"
23,"5"
24,"32"
25,"159"
26,"461"
27,"731"
28,"828"
29,"807"
30,"811"
31,"846"
32,"819"
33,"753"
34,"720"
35,"741"
36,"739"
37,"738"
38,"762"
39,"741"
40,"672"
41,"733"
42,"729"
43,"771"
44,"708"
45,"702"
46,"728"
47,"720"
48,"738"
49,"649"
50,"679"
51,"624"
52,"638"
53,"651"
54,"633"
55,"627"
56,"649"
57,"575"
58,"541"
59,"561"
60,"527"
61,"561"
62,"544"
63,"482"
64,"477"
65,"447"
66,"525"
67,"517"
68,"493"
69,"473"
70,"444"
71,"454"
72,"469"
73,"452"
74,"454"
75,"436"
76,"441"
77,"438"
78,"417"
79,"406"
80,"410"
81,"420"
82,"415"
83,"431"
84,"408"
85,"393"
86,"419"
87,"417"
88,"419"
89,"382"
90,"378"
91,"414"
92,"402"
93,"374"
94,"399"
95,"410"
96,"394"
97,"416"
98,"404"
99,"390"
100,"388"
101,"424"
102,"372"
103,"372"
104,"376"
105,"384"
106,"378"
107,"380"
108,"361"
109,"402"
110,"379"
111,"381"
112,"348"
113,"392"
114,"381"
115,"476"
116,"399"
117,"379"
118,"405"
119,"365"
120,"337"
121,"368"
122,"366"
123,"323"
124,"331"
125,"353"
126,"340"
127,"318"
128,"319"
129,"306"
130,"310"
131,"269"
132,"283"
133,"288"
134,"299"
135,"281"
136,"270"
137,"299"
138,"294"
139,"312"
140,"338"
141,"362"
142,"347"
143,"315"
144,"346"
145,"337"
146,"310"
147,"357"
148,"297"
149,"328"
150,"308"
151,"302"
152,"296"
153,"265"
154,"269"
155,"252"
156,"243"
157,"224"
158,"258"
159,"275"
160,"291"
161,"288"
162,"348"
163,"412"
164,"419"
165,"460"
166,"477"
167,"391"
168,"348"
169,"298"
170,"266"
171,"211"
172,"238"
173,"241"
174,"247"
175,"351"
176,"386"
177,"610"
178,"850"
179,"1190"
180,"1807"
181,"2408"
182,"2924"
183,"3342"
184,"3389"
185,"3084"
186,"2514"
187,"1903"
188,"1342"
189,"920"
190,"636"
191,"520"
192,"483"
193,"444"
194,"449"
195,"457"
196,"492"
197,"581"
198,"689"
199,"750"
200,"745"
201,"683"
202,"593"
203,"530"
204,"417"
205,"329"
206,"302"
207,"272"
208,"230"
209,"204"
210,"189"
211,"168"
212,"185"
213,"149"
214,"137"
215,"184"
216,"145"
217,"152"
218,"163"
219,"157"
220,"175"
221,"143"
222,"156"
223,"185"
224,"188"
225,"183"
226,"176"
227,"170"
228,"172"
229,"164"
230,"169"
231,"171"
232,"153"
233,"163"
234,"165"
235,"161"
236,"168"
237,"154"
238,"141"
239,"129"
240,"126"
241,"163"
242,"129"
243,"136"
244,"158"
245,"133"
246,"150"
247,"142"
248,"116"
249,"133"
250,"159"
251,"117"
252,"148"
253,"175"
254,"151"
255,"130"
256,"162"
257,"150"
258,"132"
259,"137"
260,"145"
261,"131"
262,"153"
263,"144"
264,"148"
265,"152"
266,"165"
267,"183"
268,"193"
269,"165"
270,"190"
271,"177"
272,"179"
273,"174"
274,"176"
275,"175"
276,"167"
277,"194"
278,"159"
279,"167"
280,"200"
281,"217"
282,"236"
283,"307"
284,"393"
285,"626"
286,"1010"
287,"1746"
288,"3033"
289,"4876"
290,"6951"
291,"9365"
292,"11483"
293,"13033"
294,"13295"
295,"12385"
296,"10422"
297,"8255"
298,"5705"
299,"3845"
300,"2177"
301,"1234"
302,"679"
303,"367"
304,"239"
305,"217"
306,"168"
307,"157"
308,"168"
309,"179"
310,"185"
311,"175"
312,"253"
313,"240"
314,"337"
315,"418"
316,"577"
317,"796"
318,"1064"
319,"1405"
320,"1808"
321,"2083"
322,"2258"
323,"2392"
324,"2290"
325,"2018"
326,"1777"
327,"1232"
328,"944"
329,"666"
330,"457"
331,"302"
332,"215"
333,"160"
334,"157"
335,"154"
336,"154"
337,"221"
338,"309"
339,"432"
340,"643"
341,"921"
342,"1272"
343,"1396"
344,"1612"
345,"1685"
346,"1609"
347,"1463"
348,"1265"
349,"955"
350,"677"
351,"481"
352,"359"
353,"230"
354,"175"
355,"150"
356,"133"
357,"119"
358,"124"
359,"125"
360,"112"
361,"114"
362,"107"
363,"112"
364,"113"
365,"110"
366,"117"
367,"138"
368,"123"
369,"141"
370,"141"
371,"150"
372,"139"
373,"157"
374,"163"
375,"196"
376,"207"
377,"279"
378,"325"
379,"362"
380,"379"
381,"410"
382,"358"
383,"338"
384,"317"
385,"288"
386,"218"
387,"216"
388,"203"
389,"170"
390,"156"
391,"156"
392,"173"
393,"184"
394,"177"
395,"233"
396,"217"
397,"287"
398,"324"
399,"348"
400,"394"
401,"362"
402,"360"
403,"344"
404,"282"
405,"239"
406,"218"
407,"188"
408,"145"
409,"111"
410,"127"
411,"118"
412,"115"
413,"110"
414,"97"
415,"116"
416,"124"
417,"118"
418,"124"
419,"113"
420,"115"
421,"130"
422,"129"
423,"141"
424,"130"
425,"127"
426,"150"
427,"124"
428,"162"
429,"162"
430,"165"
431,"176"
432,"170"
433,"168"
434,"170"
435,"171"
436,"143"
437,"184"
438,"189"
439,"182"
440,"169"
441,"200"
442,"189"
443,"196"
444,"178"
445,"164"
446,"185"
447,"146"
448,"137"
449,"148"
450,"121"
451,"119"
452,"121"
453,"114"
454,"127"
455,"119"
456,"139"
457,"137"
458,"139"
459,"125"
460,"127"
461,"149"
462,"129"
463,"138"
464,"138"
465,"136"
466,"139"
467,"115"
468,"141"
469,"140"
470,"131"
471,"134"
472,"139"
473,"139"
474,"119"
475,"142"
476,"139"
477,"133"
478,"138"
479,"147"
480,"161"
481,"171"
482,"167"
483,"154"
484,"154"
485,"151"
486,"182"
487,"150"
488,"140"
489,"124"
490,"182"
491,"196"
492,"189"
493,"195"
494,"180"
495,"207"
496,"178"
497,"192"
498,"233"
499,"223"
500,"234"
501,"273"
502,"259"
503,"212"
504,"251"
505,"280"
506,"311"
507,"324"
508,"346"
509,"367"
510,"374"
511,"503"
512,"585"
513,"869"
514,"1377"
515,"2135"
516,"3485"
517,"5309"
518,"8392"
519,"12101"
520,"16778"
521,"21824"
522,"26959"
523,"31197"
524,"34005"
525,"34728"
526,"33138"
527,"29889"
528,"25723"
529,"20713"
530,"15737"
531,"10903"
532,"7382"
533,"4595"
534,"2841"
535,"1756"
536,"978"
537,"609"
538,"397"
539,"267"
540,"259"
541,"216"
542,"209"
543,"176"
544,"172"
545,"164"
546,"138"
547,"167"
548,"144"
549,"145"
550,"142"
551,"143"
552,"163"
553,"133"
554,"185"
555,"181"
556,"148"
557,"164"
558,"189"
559,"182"
560,"178"
561,"177"
562,"187"
563,"179"
564,"198"
565,"196"
566,"219"
567,"209"
568,"221"
569,"238"
570,"262"
571,"295"
572,"338"
573,"390"
574,"514"
575,"720"
576,"1019"
577,"1408"
578,"2041"
579,"2805"
580,"3539"
581,"4522"
582,"5142"
583,"5740"
584,"5971"
585,"5966"
586,"5571"
587,"5089"
588,"4216"
589,"3478"
590,"2586"
591,"1929"
592,"1397"
593,"1040"
594,"687"
595,"522"
596,"346"
597,"275"
598,"200"
599,"177"
600,"151"
601,"152"
602,"110"
603,"115"
604,"94"
605,"129"
606,"110"
607,"120"
608,"109"
609,"134"
610,"111"
611,"102"
612,"123"
613,"108"
614,"116"
615,"101"
616,"120"
617,"108"
618,"120"
619,"112"
620,"120"
621,"99"
622,"136"
623,"134"
624,"156"
625,"127"
626,"125"
627,"151"
628,"131"
629,"152"
630,"148"
631,"160"
632,"148"
633,"144"
634,"106"
635,"133"
636,"133"
637,"149"
638,"120"
639,"117"
640,"148"
641,"141"
642,"147"
643,"150"
644,"145"
645,"128"
646,"140"
647,"173"
648,"139"
649,"141"
650,"143"
651,"145"
652,"156"
653,"149"
654,"129"
655,"160"
656,"135"
657,"170"
658,"118"
659,"158"
660,"180"
661,"178"
662,"181"
663,"178"
664,"153"
665,"187"
666,"180"
667,"209"
668,"199"
669,"196"
670,"178"
671,"197"
672,"195"
673,"182"
674,"167"
675,"189"
676,"147"
677,"194"
678,"158"
679,"182"
680,"178"
681,"144"
682,"171"
683,"201"
684,"171"
685,"193"
686,"179"
687,"200"
688,"193"
689,"199"
690,"202"
691,"183"
692,"178"
693,"197"
694,"223"
695,"220"
696,"223"
697,"217"
698,"226"
699,"267"
700,"272"
701,"289"
702,"336"
703,"310"
704,"324"
705,"355"
706,"335"
707,"327"
708,"299"
709,"326"
710,"305"
711,"284"
712,"263"
713,"231"
714,"256"
715,"208"
716,"229"
717,"217"
718,"241"
719,"251"
720,"226"
721,"235"
722,"236"
723,"266"
724,"234"
725,"252"
726,"224"
727,"231"
728,"270"
729,"243"
730,"234"
731,"257"
732,"259"
733,"271"
734,"264"
735,"272"
736,"263"
737,"245"
738,"263"
739,"292"
740,"257"
741,"297"
742,"279"
743,"314"
744,"292"
745,"315"
746,"283"
747,"307"
748,"286"
749,"301"
750,"311"
751,"266"
752,"299"
753,"291"
754,"315"
755,"310"
756,"300"
757,"300"
758,"374"
759,"333"
760,"344"
761,"311"
762,"331"
763,"316"
764,"311"
765,"321"
766,"319"
767,"321"
768,"325"
769,"343"
770,"383"
771,"366"
772,"355"
773,"385"
774,"347"
775,"418"
776,"433"
777,"390"
778,"463"
779,"473"
780,"520"
781,"481"
782,"525"
783,"563"
784,"498"
785,"533"
786,"550"
787,"497"
788,"508"
789,"570"
790,"495"
791,"513"
792,"494"
793,"478"
794,"507"
795,"483"
796,"468"
797,"489"
798,"489"
799,"494"
800,"483"
801,"498"
802,"516"
803,"531"
804,"577"
805,"589"
806,"542"
807,"609"
808,"555"
809,"597"
810,"606"
811,"614"
812,"635"
813,"651"
814,"684"
815,"759"
816,"729"
817,"778"
818,"710"
819,"841"
820,"878"
821,"785"
822,"791"
823,"794"
824,"826"
825,"863"
826,"893"
827,"924"
828,"907"
829,"860"
830,"928"
831,"948"
832,"965"
833,"931"
834,"995"
835,"980"
836,"980"
837,"976"
838,"1043"
839,"1013"
840,"1012"
841,"1005"
842,"1039"
843,"1074"
844,"1107"
845,"1134"
846,"1185"
847,"1130"
848,"1275"
849,"1303"
850,"1525"
851,"1500"
852,"1734"
853,"2147"
854,"2840"
855,"3832"
856,"5199"
857,"7235"
858,"10199"
859,"13908"
860,"18775"
861,"24749"
862,"31426"
863,"38710"
864,"46482"
865,"54999"
866,"62884"
867,"68606"
868,"73435"
869,"76942"
870,"76975"
871,"75177"
872,"70411"
873,"64440"
874,"56014"
875,"47912"
876,"38871"
877,"30186"
878,"22935"
879,"17073"
880,"11879"
881,"8465"
882,"5653"
883,"3801"
884,"2578"
885,"1792"
886,"1331"
887,"1076"
888,"932"
889,"818"
890,"726"
891,"736"
892,"746"
893,"720"
894,"682"
895,"683"
896,"702"
897,"708"
898,"656"
899,"726"
900,"675"
901,"719"
902,"683"
903,"767"
904,"723"
905,"776"
906,"711"
907,"731"
908,"762"
909,"733"
910,"744"
911,"765"
912,"789"
913,"796"
914,"852"
915,"818"
916,"823"
917,"858"
918,"854"
919,"895"
920,"915"
921,"924"
922,"986"
923,"991"
924,"997"
925,"1082"
926,"1044"
927,"1145"
928,"1196"
929,"1232"
930,"1226"
931,"1255"
932,"1388"
933,"1402"
934,"1513"
935,"1510"
936,"1581"
937,"1567"
938,"1710"
939,"1740"
940,"1846"
941,"1840"
942,"1865"
943,"1898"
944,"1963"
945,"2050"
946,"2075"
947,"2034"
948,"2078"
949,"2195"
950,"2175"
951,"2176"
952,"2152"
953,"2178"
954,"2088"
955,"2094"
956,"2056"
957,"2019"
958,"2002"
959,"2003"
960,"1941"
961,"1929"
962,"1930"
963,"2046"
964,"2103"
965,"2401"
966,"2664"
967,"3247"
968,"3992"
969,"4880"
970,"6040"
971,"7303"
972,"8931"
973,"10135"
974,"11618"
975,"12866"
976,"13384"
977,"13629"
978,"13387"
979,"12554"
980,"11721"
981,"10238"
982,"8743"
983,"7242"
984,"6004"
985,"4824"
986,"3901"
987,"3281"
988,"2822"
989,"2548"
990,"2511"
991,"2674"
992,"2680"
993,"2798"
994,"2937"
995,"3039"
996,"3083"
997,"2992"
998,"2908"
999,"2640"
1000,"2466"
1001,"2385"
1002,"2128"
1003,"2072"
1004,"1938"
1005,"1883"
1006,"1714"
1007,"1690"
1008,"1498"
1009,"1451"
1010,"1323"
1011,"1233"
1012,"1073"
1013,"1006"
1014,"911"
1015,"818"
1016,"778"
1017,"639"
1018,"626"
1019,"641"
1020,"543"
1021,"546"
1022,"583"
1023,"542"
1024,"505"
1025,"538"
1026,"544"
1027,"511"
1028,"542"
1029,"546"
1030,"565"
1031,"581"
1032,"577"
1033,"583"
1034,"606"
1035,"617"
1036,"652"
1037,"664"
1038,"705"
1039,"743"
1040,"778"
1041,"850"
1042,"969"
1043,"1011"
1044,"1116"
