Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"Victoria"
Duration Time,30.353
Ambient Temperature,"92.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"2429761"
Raw Accumulated Counts,"25403282"
Valid Count Last Packet,"49453"
Raw Count Last Packet,"510455"
Live Time,2.878999
HV DAC,210
HV ADC,40.000000
Filament DAC,226
Filament ADC,30.000000
Pulse Length,150
Pulse Period,254
Filter,4
eV per channel,20.0868
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"59"
1,"43"
2,"24"
3,"17"
4,"5"
5,"4"
6,"5"
7,"0"
8,"2"
9,"1"
10,"0"
11,"0"
12,"1"
13,"1"
14,"1"
15,"0"
16,"0"
17,"1"
18,"1"
19,"3"
20,"13"
21,"34"
22,"65"
23,"115"
24,"154"
25,"153"
26,"164"
27,"128"
28,"140"
29,"131"
30,"111"
31,"129"
32,"104"
33,"104"
34,"98"
35,"92"
36,"98"
37,"85"
38,"113"
39,"79"
40,"92"
41,"84"
42,"79"
43,"80"
44,"91"
45,"76"
46,"75"
47,"65"
48,"72"
49,"76"
50,"86"
51,"58"
52,"82"
53,"65"
54,"75"
55,"63"
56,"68"
57,"63"
58,"73"
59,"68"
60,"67"
61,"63"
62,"68"
63,"66"
64,"69"
65,"51"
66,"55"
67,"50"
68,"79"
69,"59"
70,"63"
71,"50"
72,"77"
73,"57"
74,"79"
75,"72"
76,"68"
77,"58"
78,"70"
79,"75"
80,"65"
81,"63"
82,"83"
83,"71"
84,"93"
85,"85"
86,"70"
87,"73"
88,"76"
89,"104"
90,"91"
91,"83"
92,"95"
93,"85"
94,"74"
95,"109"
96,"99"
97,"83"
98,"94"
99,"101"
100,"104"
101,"90"
102,"116"
103,"119"
104,"100"
105,"103"
106,"106"
107,"124"
108,"121"
109,"133"
110,"131"
111,"144"
112,"165"
113,"187"
114,"164"
115,"179"
116,"166"
117,"163"
118,"171"
119,"190"
120,"173"
121,"219"
122,"179"
123,"207"
124,"222"
125,"255"
126,"279"
127,"363"
128,"392"
129,"447"
130,"539"
131,"533"
132,"578"
133,"581"
134,"609"
135,"512"
136,"550"
137,"499"
138,"559"
139,"538"
140,"548"
141,"543"
142,"505"
143,"533"
144,"529"
145,"541"
146,"481"
147,"453"
148,"397"
149,"355"
150,"343"
151,"286"
152,"262"
153,"258"
154,"255"
155,"250"
156,"248"
157,"243"
158,"244"
159,"269"
160,"271"
161,"247"
162,"298"
163,"293"
164,"258"
165,"257"
166,"244"
167,"260"
168,"212"
169,"233"
170,"238"
171,"222"
172,"178"
173,"214"
174,"193"
175,"212"
176,"248"
177,"221"
178,"214"
179,"239"
180,"251"
181,"242"
182,"230"
183,"208"
184,"251"
185,"217"
186,"235"
187,"244"
188,"234"
189,"218"
190,"242"
191,"238"
192,"249"
193,"207"
194,"251"
195,"260"
196,"244"
197,"253"
198,"269"
199,"252"
200,"240"
201,"241"
202,"265"
203,"260"
204,"256"
205,"254"
206,"278"
207,"224"
208,"230"
209,"235"
210,"225"
211,"235"
212,"242"
213,"210"
214,"228"
215,"204"
216,"228"
217,"235"
218,"247"
219,"222"
220,"223"
221,"245"
222,"248"
223,"257"
224,"252"
225,"252"
226,"261"
227,"214"
228,"226"
229,"246"
230,"239"
231,"257"
232,"218"
233,"231"
234,"231"
235,"220"
236,"247"
237,"243"
238,"226"
239,"257"
240,"242"
241,"230"
242,"230"
243,"246"
244,"258"
245,"233"
246,"251"
247,"255"
248,"233"
249,"242"
250,"266"
251,"286"
252,"277"
253,"278"
254,"282"
255,"316"
256,"302"
257,"312"
258,"325"
259,"321"
260,"322"
261,"344"
262,"387"
263,"363"
264,"364"
265,"386"
266,"369"
267,"386"
268,"400"
269,"410"
270,"425"
271,"406"
272,"439"
273,"381"
274,"411"
275,"468"
276,"462"
277,"462"
278,"527"
279,"510"
280,"609"
281,"645"
282,"787"
283,"1058"
284,"1480"
285,"1990"
286,"2727"
287,"3767"
288,"4572"
289,"5487"
290,"6094"
291,"6480"
292,"6081"
293,"5488"
294,"4669"
295,"3656"
296,"2844"
297,"2036"
298,"1437"
299,"1078"
300,"812"
301,"728"
302,"624"
303,"580"
304,"577"
305,"634"
306,"609"
307,"723"
308,"826"
309,"910"
310,"1063"
311,"1310"
312,"1568"
313,"1736"
314,"1955"
315,"2120"
316,"2292"
317,"2300"
318,"2425"
319,"2320"
320,"2204"
321,"2014"
322,"1810"
323,"1561"
324,"1360"
325,"1147"
326,"970"
327,"809"
328,"784"
329,"681"
330,"644"
331,"632"
332,"652"
333,"629"
334,"609"
335,"645"
336,"676"
337,"660"
338,"690"
339,"701"
340,"692"
341,"716"
342,"721"
343,"759"
344,"767"
345,"734"
346,"750"
347,"826"
348,"766"
349,"755"
350,"772"
351,"775"
352,"701"
353,"747"
354,"712"
355,"883"
356,"787"
357,"928"
358,"1146"
359,"1555"
360,"2160"
361,"3361"
362,"5283"
363,"7770"
364,"10904"
365,"14733"
366,"18759"
367,"22678"
368,"25443"
369,"26879"
370,"26553"
371,"24758"
372,"21664"
373,"17580"
374,"13531"
375,"10072"
376,"7074"
377,"5044"
378,"3408"
379,"2499"
380,"1875"
381,"1604"
382,"1556"
383,"1532"
384,"1655"
385,"2121"
386,"2959"
387,"4267"
388,"6718"
389,"10671"
390,"16809"
391,"25706"
392,"36572"
393,"49950"
394,"64877"
395,"78468"
396,"89181"
397,"95383"
398,"95402"
399,"89716"
400,"79712"
401,"67470"
402,"52793"
403,"40067"
404,"29215"
405,"21336"
406,"15583"
407,"11943"
408,"9281"
409,"7757"
410,"6618"
411,"5631"
412,"4842"
413,"4045"
414,"3697"
415,"3498"
416,"3825"
417,"4810"
418,"6750"
419,"9815"
420,"14412"
421,"20531"
422,"27140"
423,"35682"
424,"43080"
425,"49708"
426,"53768"
427,"55795"
428,"53468"
429,"48261"
430,"41892"
431,"33938"
432,"26776"
433,"20620"
434,"16373"
435,"13553"
436,"12382"
437,"12355"
438,"12334"
439,"12709"
440,"13158"
441,"12330"
442,"11475"
443,"10348"
444,"8860"
445,"6937"
446,"5451"
447,"3988"
448,"2954"
449,"2124"
450,"1639"
451,"1180"
452,"992"
453,"797"
454,"739"
455,"727"
456,"677"
457,"643"
458,"621"
459,"623"
460,"598"
461,"625"
462,"704"
463,"786"
464,"954"
465,"1082"
466,"1459"
467,"1798"
468,"2378"
469,"3101"
470,"3577"
471,"4170"
472,"4559"
473,"4872"
474,"4945"
475,"4620"
476,"4266"
477,"3395"
478,"2998"
479,"2267"
480,"1746"
481,"1272"
482,"942"
483,"688"
484,"544"
485,"438"
486,"403"
487,"318"
488,"305"
489,"265"
490,"257"
491,"250"
492,"260"
493,"250"
494,"247"
495,"230"
496,"215"
497,"228"
498,"222"
499,"234"
500,"230"
501,"220"
502,"219"
503,"212"
504,"187"
505,"199"
506,"200"
507,"184"
508,"182"
509,"167"
510,"201"
511,"177"
512,"147"
513,"174"
514,"186"
515,"173"
516,"174"
517,"167"
518,"161"
519,"147"
520,"159"
521,"147"
522,"146"
523,"139"
524,"154"
525,"121"
526,"124"
527,"147"
528,"137"
529,"166"
530,"163"
531,"153"
532,"145"
533,"150"
534,"170"
535,"162"
536,"150"
537,"144"
538,"157"
539,"143"
540,"159"
541,"167"
542,"163"
543,"144"
544,"138"
545,"140"
546,"137"
547,"136"
548,"139"
549,"136"
550,"118"
551,"107"
552,"125"
553,"122"
554,"133"
555,"114"
556,"118"
557,"133"
558,"122"
559,"137"
560,"125"
561,"159"
562,"143"
563,"118"
564,"136"
565,"143"
566,"138"
567,"119"
568,"143"
569,"125"
570,"122"
571,"135"
572,"130"
573,"143"
574,"131"
575,"146"
576,"143"
577,"127"
578,"118"
579,"107"
580,"116"
581,"106"
582,"138"
583,"130"
584,"126"
585,"112"
586,"107"
587,"113"
588,"103"
589,"110"
590,"113"
591,"109"
592,"102"
593,"117"
594,"124"
595,"113"
596,"114"
597,"104"
598,"92"
599,"107"
600,"112"
601,"114"
602,"106"
603,"111"
604,"112"
605,"105"
606,"122"
607,"115"
608,"109"
609,"93"
610,"111"
611,"110"
612,"105"
613,"99"
614,"89"
615,"90"
616,"95"
617,"103"
618,"85"
619,"97"
620,"108"
621,"82"
622,"101"
623,"82"
624,"126"
625,"86"
626,"85"
627,"95"
628,"101"
629,"104"
630,"106"
631,"108"
632,"87"
633,"105"
634,"102"
635,"80"
636,"89"
637,"101"
638,"99"
639,"83"
640,"101"
641,"75"
642,"106"
643,"85"
644,"102"
645,"90"
646,"98"
647,"104"
648,"101"
649,"102"
650,"81"
651,"99"
652,"113"
653,"104"
654,"117"
655,"111"
656,"138"
657,"139"
658,"147"
659,"182"
660,"172"
661,"186"
662,"169"
663,"173"
664,"193"
665,"158"
666,"168"
667,"158"
668,"146"
669,"129"
670,"146"
671,"110"
672,"111"
673,"129"
674,"106"
675,"115"
676,"118"
677,"115"
678,"113"
679,"136"
680,"143"
681,"153"
682,"202"
683,"191"
684,"224"
685,"262"
686,"324"
687,"340"
688,"378"
689,"456"
690,"448"
691,"474"
692,"493"
693,"399"
694,"400"
